@relation "cora-ATVYOall"

@attribute author string
@attribute year string
@attribute title string
@attribute venue string
@attribute other string
@attribute all string
@attribute class {'aha1987', 'aha1989', 'aha1990', 'aha1991', 'aha1992', 'ahlskog1994a', 'asfahl1992a', 'auer1995a', 'benford1993a', 'benford1994a', 'benford1995a', 'benford1995b', 'blum1993', 'blum1994', 'brodley1992', 'brodley1992b', 'brodley1994', 'brodley1995', 'brown1992a', 'buth1992a', 'callan1991', 'callan1991aaai', 'cardie1993', 'carlson1993a', 'caruana1993', 'cesa-bianchi1993', 'cesa-bianchi1994', 'cesa-bianchi1994b', 'cesa-bianchi1996', 'cesa-bianchi1997', 'chapman1987', 'chapman1991', 'cheng1996', 'clark1993', 'cleeremans1989', 'clouse1992', 'cohen1998', 'conery1981', 'conery1983', 'conery1985', 'conery1985a', 'conery19xx', 'connel1987', 'connell1987', 'cramer1985a', 'craven1993', 'daelemans1995a', 'danyluk1993', 'dasarathy1991', 'datta1992', 'datta1995', 'deb1989a', 'dempster1977a', 'dietterich1996', 'dill1997a', 'dill1997b', 'draper1994', 'drucker1992', 'drucker1993', 'druker1992', 'dutta1988a', 'ehrenfeucht1988', 'ehrenfeucht1989', 'fahle1981a', 'fahle1991a', 'fahle1992a', 'fahle1993a', 'fahle1995a', 'fahle1997a', 'fahlen1993a', 'fahlman1974a', 'fahlman1979a', 'fahlman1980a', 'fahlman1981a', 'fahlman1981b', 'fahlman1985a', 'fahlman1987a', 'fahlman1988a', 'fahlman1988b', 'fahlman1990a', 'fahlman1990b', 'fahlman1991a', 'fahlman1991b', 'fahlman1991c', 'fahlman1993a', 'fahlman1993b', 'fahlman1996a', 'fahln1993a', 'fawcett1991', 'fawcett1992', 'fayyad1993', 'feder1995', 'forchheimer1983a', 'frankel1994a', 'freund0000a', 'freund1990', 'freund1992a', 'freund1992b', 'freund1992c', 'freund1993a', 'freund1993b', 'freund1993c', 'freund1995a', 'freund1995b', 'freund1995c', 'freund1995d', 'freund1995e', 'freund1995f', 'freund1996a', 'freund1996b', 'freund1996c', 'freund1996d', 'freund1996e', 'freund1997a', 'freund1997b', 'freund1997c', 'freund1997d', 'goldman1989', 'goldman1990', 'goldman1990a', 'goldman1990c', 'goldman1991', 'goldman1993', 'goldman1993a', 'goldman1995', 'hall1989', 'hampson1993', 'hampson1995', 'haussler1988', 'haussler1991', 'haussler1991c', 'haussler1991p', 'haussler1992', 'haussler1994', 'haussler1994a', 'haussler1996', 'helmbold1995', 'helmbold1995a', 'helmbold1996', 'helmbold1996a', 'helmbold1997', 'helmbold1997c', 'hendren1992a', 'herzog1995a', 'hoehfeld1992a', 'hu1996', 'huffman1993', 'johnson1982', 'jordan1993', 'kaelbling1993', 'kautz1993', 'kautz1995', 'kearns1987', 'kearns1987b', 'kearns1988', 'kearns1988a', 'kearns1988b', 'kearns1989', 'kearns1989a', 'kearns1990', 'kearns1990b', 'kearns1990c', 'kearns1992a', 'kearns1992c', 'kearns1993a', 'kearns1993b', 'kearns1993c', 'kearns1994a', 'kearns1994b', 'kearns1994c', 'kearns1994cryp', 'kearns1994d', 'kearns1994e', 'kearns1995a', 'kearns1995b', 'kearns1996a', 'kearns1996b', 'kearns1997a', 'kearns1997b', 'kearns1997c', 'kearns1998', 'kearns1999a', 'kearns1999b', 'kelly1991andjunk', 'kibler1978', 'kibler1981', 'kibler1983', 'kibler1985', 'kibler1988', 'kibler1988a', 'kibler1989', 'kibler1993', 'knoop1992a', 'knopp1992a', 'kriegel1993a', 'langendoen1992a', 'langley1986', 'lewis1996', 'littlestone', 'mccallum1993', 'mcdonald1987a', 'mehra1998', 'minton1992', 'mitchell1981', 'mitchell1983', 'mitchell1983ijcai', 'mitchell1993', 'mitchell1993ebl', 'mladenic', 'mladenic1993', 'moss1997', 'musick1992', 'nilsson1994', 'norvig1992', 'ortega1995andjunk', 'ourston1994', 'pazzani1990', 'pazzani1992', 'pfahler1997a', 'poggio1992a', 'poggio1992b', 'pope1992a', 'porter1986', 'quinlan1993', 'ragavan1993', 'rivest1987', 'rivest1987d', 'rivest1989', 'rivest1992', 'rivest1993', 'rivest1994', 'ruby1989', 'ruby1991', 'ruby1991a', 'ruby1992', 'rudy1992', 'rymon1993', 'safford1993', 'schapire', 'schapire1988', 'schapire1989', 'schapire1990', 'schapire1990[', 'schapire1990e', 'schapire1991', 'schapire1991l', 'schapire1992', 'schapire1992a', 'schapire1993', 'schapire1994', 'schapire1996', 'schapire1996p', 'schapire1997', 'schapire1997u', 'schapire1997um', 'schapire1998', 'schapire1998mm', 'schmill1998', 'schwartz1993', 'shapiro1980a', 'skiblics1996', 'sklansky1976', 'standish1976', 'steele1984a', 'steele1990a', 'stone1977', 'sudholt1992a', 'thrun1991a', 'torgo1990', 'torgo1995', 'utgoff1982aaai', 'utgoff1983', 'utgoff1984phd', 'utgoff1986book', 'utgoff1986mlii', 'utgoff1987', 'utgoff1988aaai', 'utgoff1988iid', 'utgoff1988pt', 'utgoff1989', 'utgoff1989mlw', 'utgoff1989pt', 'utgoff1989rp', 'utgoff1990', 'utgoff1991aaai', 'utgoff1991lmdt', 'utgoff1991mdt', 'utgoff1994', 'utgoff1995', 'utgoff1996', 'utgoff1996ks', 'utgoff1996mlii', 'utgoff1996va', 'utgoff1997', 'utgoff1997fa', 'utgoff1998', 'vitek1992a', 'walter1987a', 'webber1994', 'weber1994', 'weiss1993a', 'white1994a', 'wholey1984a', 'yee1990', 'zheng1993'}


@data
"R. E. Schapire,", "1990.", "\"The strength of weak learnability,\"", "Machine Learning,", "vol. 5, no. 2, pp. 197-227,", "R. E. Schapire, \"The strength of weak learnability,\" Machine Learning, vol. 5, no. 2, pp. 197-227, 1990.", 'schapire1990'
"R. Schapire.", "1990,", "The strength of weak learnability.", "Machine Learning,", "5(2), pp. 197-227.", "R. Schapire. The strength of weak learnability. Machine Learning, 5(2), 1990, pp. 197-227.", 'schapire1990'
"Schapire, R.,", "1990.", "The strength of weak learnability,", "Machine Learning,", "5(2) 197-227,", "Schapire, R., The strength of weak learnability, Machine Learning, 5(2) 197-227, 1990.", 'schapire1990'
"Robert E. Schapire.", "1990.", "The strength of weak learnability.", "Machine Learning,", "5(2) 197-227, June 7", "Robert E. Schapire. The strength of weak learnability. Machine Learning, 5(2) 197-227, June 1990. 7", 'schapire1990'
"Robert E. Schapire.", "1990.", "The strength of weak learnability.", "Machine Learning,", "5(2) 197-226,", "Robert E. Schapire. The strength of weak learnability. Machine Learning, 5(2) 197-226, 1990.", 'schapire1990'
"Schapire, R.E.", "", "The Strength of Weak Learnability.", "Machine Learning 5:", "197-227.", "Schapire, R.E. The Strength of Weak Learnability. Machine Learning 5: 197-227.", 'schapire1990'
"Shapire, R. E.,", "1990.", "The Strength of Weak Learnability,", "Machine Learning,", "vol. 5, pp. 197-227,", "Shapire, R. E., The Strength of Weak Learnability, Machine Learning, vol. 5, pp. 197-227, 1990.", 'schapire1990'
"R. E. Schapire.", "1990.", "Pattern languages are not learnable.", "In Proceedings of COLT '90,", "pages 122-129. Morgan Kaufmann,", "R. E. Schapire. Pattern languages are not learnable. In Proceedings of COLT '90, pages 122-129. Morgan Kaufmann, 1990.", 'schapire1990['
"Robert E. Schapire,", "1990.", "\"The Emerging Theory of Average Case Complexity\",", "Tech. Report MIT/LCS/TM-431,", "June", "Robert E. Schapire, \"The Emerging Theory of Average Case Complexity\", Tech. Report MIT/LCS/TM-431, June 1990.", 'schapire1990e'
"R. E. Schapire.", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press, Cambridge, MA,", "R. E. Schapire. The Design and Analysis of Efficient Learning Algorithms. MIT Press, Cambridge, MA, 1992.", 'schapire1991'
"Schapire, R.,", "", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press, '92.", "Schapire, R., The Design and Analysis of Efficient Learning Algorithms. MIT Press, '92.", 'schapire1991'
"R. E. Schapire.", "(1991).", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press. 38 DANA RON AND RONITT RUBINFELD", "R. E. Schapire. (1991). The Design and Analysis of Efficient Learning Algorithms. MIT Press. 38 DANA RON AND RONITT RUBINFELD", 'schapire1991'
"Robert E. Schapire.", "1991.", "The design and analysis of efficient learning algorithms.", "Technical Report MIT/LCS/TR-493,", "MIT Laboratory for Computer Science,", "Robert E. Schapire. The design and analysis of efficient learning algorithms. Technical Report MIT/LCS/TR-493, MIT Laboratory for Computer Science, 1991.", 'schapire1991'
"R. E. Schapire.", "1991.", "The Design and Analysis of Efficient Learning Algorithms. ACM Distinguished Dissertation Awards Series.", "", "The MIT Press, Cambridge, MA.,", "R. E. Schapire. The Design and Analysis of Efficient Learning Algorithms. ACM Distinguished Dissertation Awards Series. The MIT Press, Cambridge, MA., 1991.", 'schapire1991'
"Robert E. Schapire.", "1992.", "The Design and Analysis of Ef ficient Learning Algorithms.", "", "MIT Press, Cambridge, MA,", "Robert E. Schapire. The Design and Analysis of Ef ficient Learning Algorithms. MIT Press, Cambridge, MA, 1992.", 'schapire1991'
"Schapire, R.,", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press,", "Schapire, R., The Design and Analysis of Efficient Learning Algorithms. MIT Press, 1992.", 'schapire1991'
"R. Schapire.", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press,", "R. Schapire. The Design and Analysis of Efficient Learning Algorithms. MIT Press, 1992.", 'schapire1991'
"Robert E. Schapire.", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press, Cambridge, MA, 124 Bibliography", "Robert E. Schapire. The Design and Analysis of Efficient Learning Algorithms. MIT Press, Cambridge, MA, 1992. 124 Bibliography", 'schapire1991'
"Robert E. Schapire.", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press, Cambridge, MA,", "Robert E. Schapire. The Design and Analysis of Efficient Learning Algorithms. MIT Press, Cambridge, MA, 1992.", 'schapire1991'
"Robert E. Schapire.", "1991.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press, Cambridge, Massachusetts,", "Robert E. Schapire. The Design and Analysis of Efficient Learning Algorithms. MIT Press, Cambridge, Massachusetts, 1991.", 'schapire1991'
"Robert E. Schapire.", "1991.", "The Design and Analysis of Efficient Learning Algorithms.", "PhD thesis,", "M.I.T.,", "Robert E. Schapire. The Design and Analysis of Efficient Learning Algorithms. PhD thesis, M.I.T., 1991.", 'schapire1991'
"R. E. Schapire.", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "MIT Press, Cam-bridge, MA,", "R. E. Schapire. The Design and Analysis of Efficient Learning Algorithms. MIT Press, Cam-bridge, MA, 1992.", 'schapire1991'
"Robert E. Schapire.", "1992.", "private correspondence,", "", "January", "Robert E. Schapire. private correspondence, January 1992.", 'schapire1992a'
"Schapire, R.E.,", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "The MIT Press, 15", "Schapire, R.E., The Design and Analysis of Efficient Learning Algorithms. The MIT Press, 1992. 15", 'schapire1991'
"Schapire, R.E.,", "1992.", "The Design and Analysis of Efficient Learning Algorithms.", "", "The MIT Press,", "Schapire, R.E., The Design and Analysis of Efficient Learning Algorithms. The MIT Press, 1992.", 'schapire1991'
"Robert E. Schapire.", "1991.", "Learning probabilistic read-once formulas on product distributions.", "In Computation Learning Theory: Proceedings of the Fourth Annual Workshop,", "August", "Robert E. Schapire. Learning probabilistic read-once formulas on product distributions. In Computation Learning Theory: Proceedings of the Fourth Annual Workshop, August 1991.", 'schapire1991l'
"Robert E. Schapire.", "1991.", "Learning probabilistic read-once formulas on product distributions.", "In Proceedings of the Fourth Annual Workshop on Computational Learning Theory,", "pages 184-198, August", "Robert E. Schapire. Learning probabilistic read-once formulas on product distributions. In Proceedings of the Fourth Annual Workshop on Computational Learning Theory, pages 184-198, August 1991.", 'schapire1991l'
"R. E. Schapire.", "1992.", "The Design and Analysis of Ef ficient Learning Algorithms.", "", "MIT Press, Cam bridge, MA,", "R. E. Schapire. The Design and Analysis of Ef ficient Learning Algorithms. MIT Press, Cam bridge, MA, 1992.", 'schapire1992'
"R. E. Schapire, L. M. Sellie.", "1993.", "Learning sparse multivariate polynomial over a field with queries and counterexamples.", "In Proceedings of the Sixth Annual ACM Workshop on Computational Learning Theory.", "July,", "R. E. Schapire, L. M. Sellie. Learning sparse multivariate polynomial over a field with queries and counterexamples. In Proceedings of the Sixth Annual ACM Workshop on Computational Learning Theory. July, 1993.", 'schapire1993'
"Schapire, R. E. & Warmuth, M. K.", "(1994).", "On the worst-case analysis of temporal-difference learning algorithms.", "In Machine Learning: Proceedings of the Eleventh International Conference,", "pages 266-274. Morgan Kaufmann.", "Schapire, R. E. & Warmuth, M. K. (1994). On the worst-case analysis of temporal-difference learning algorithms. In Machine Learning: Proceedings of the Eleventh International Conference, pages 266-274. Morgan Kaufmann.", 'schapire1994'
"Schapire, R. E., and Warmuth, M. K.", "(1994),", "On the worst-case analysis of temporal-difference learing algorithms,", "in \"Proceddings, 11th International Conference on Machine Learning,\"", "pp. 266-274, Morgan Kaufmann, San Francisco, CA. To appear in Machine Learning.", "Schapire, R. E., and Warmuth, M. K. (1994), On the worst-case analysis of temporal-difference learing algorithms, in \"Proceddings, 11th International Conference on Machine Learning,\" pp. 266-274, Morgan Kaufmann, San Francisco, CA. To appear in Machine Learning.", 'schapire1994'
"Robert E. Schapire and Manfred K. Warmuth.", "", "On the worst-case analysis of temporal-difference learning algorithms.", "In Proceedings of the Eleventh International Conference on Machine Learning,", "pages 266-274, San Francisco, Califor-nia, 1994. Morgan Kaufmann.", "Robert E. Schapire and Manfred K. Warmuth. On the worst-case analysis of temporal-difference learning algorithms. In Proceedings of the Eleventh International Conference on Machine Learning, pages 266-274, San Francisco, Califor-nia, 1994. Morgan Kaufmann.", 'schapire1994'
"Robert E. Schapire and Manfred K. Warmuth.", "1994.", "On the worst-case analysis of temporal-difference learning algorithms.", "In Proc. 11th International Conference on Machine Learning,", "pages 266-274. Morgan Kaufmann,", "Robert E. Schapire and Manfred K. Warmuth. On the worst-case analysis of temporal-difference learning algorithms. In Proc. 11th International Conference on Machine Learning, pages 266-274. Morgan Kaufmann, 1994.", 'schapire1994'
"R. E. Schapire and M. K. Warmuth.", "1994.", "On the worst-case analysis of temporal-difference learing algorithms.", "In Proc. 11th International Conf. on Machine Learning,", "pages 266-274, San Francisco, CA, July Morgan Kaufmann. To appear in Machine Learning.", "R. E. Schapire and M. K. Warmuth. On the worst-case analysis of temporal-difference learing algorithms. In Proc. 11th International Conf. on Machine Learning, pages 266-274, San Francisco, CA, July 1994. Morgan Kaufmann. To appear in Machine Learning.", 'schapire1994'
"R. E. Schapire and M. K. Warmuth.", "1994.", "On the worst-case analysis of temporal-difference learing algorithms.", "In Proc. 11th International Conference on Machine Learning,", "", "R. E. Schapire and M. K. Warmuth. On the worst-case analysis of temporal-difference learing algorithms. In Proc. 11th International Conference on Machine Learning, 1994.", 'schapire1994'
"R. E. Schapire and L. M. Sellie.", "1996.", "Learning sparse multivariate polynomials over a field with queries and counterexamples.", "J. of Computer and System Sciences,", "52(2) 201-213,", "R. E. Schapire and L. M. Sellie. Learning sparse multivariate polynomials over a field with queries and counterexamples. J. of Computer and System Sciences, 52(2) 201-213, 1996.", 'schapire1996'
"R. E. Schapire and L. M. Sellie.", "1996.", "Learning sparse multivariate polynomials over a field with queries and counterexamples.", "J. of Computer and System Sciences,", "52(2):201213,", "R. E. Schapire and L. M. Sellie. Learning sparse multivariate polynomials over a field with queries and counterexamples. J. of Computer and System Sciences, 52(2):201213, 1996.", 'schapire1996'
"Schapire, R.E.", "(1996),", "private communication.", "", "", "Schapire, R.E. (1996), private communication.", 'schapire1996p'
"Schapire R.E., Freund Y., Bartlett P., Lee W.S.:", "1997.", "Boosting the Margin: A new Explanation for the Effectiveness of Voting Methods,", "in Proceedings of the Fourteenth International Conference on Machine Learning,", "Morgan Kaufmann,", "Schapire R.E., Freund Y., Bartlett P., Lee W.S.: Boosting the Margin: A new Explanation for the Effectiveness of Voting Methods, in Proceedings of the Fourteenth International Conference on Machine Learning, Morgan Kaufmann, 1997.", 'schapire1997'
"R. E. Schapire, Y. Freund, P. Bartlett, and W. S. Lee.", "(1997).", "Boosting the margin: A new explanation for the effectiveness of voting methods.", "In Machine Learning: Proceedings of the Fourteenth International Conference.", "", "R. E. Schapire, Y. Freund, P. Bartlett, and W. S. Lee. (1997). Boosting the margin: A new explanation for the effectiveness of voting methods. In Machine Learning: Proceedings of the Fourteenth International Conference.", 'schapire1997'
"Schapire, R. E., Freund, Y., Bartlett, P. & Lee, W. S.", "(1997),", "Boosting the margin: A new explanation for the effectiveness of voting methods,", "`Machine Learning: Proceedings of the Fourteenth International Conference',", "in D. Fisher, ed., Morgan Kaufmann, pp. 322-330.", "Schapire, R. E., Freund, Y., Bartlett, P. & Lee, W. S. (1997), Boosting the margin: A new explanation for the effectiveness of voting methods, in D. Fisher, ed., `Machine Learning: Proceedings of the Fourteenth International Conference', Morgan Kaufmann, pp. 322-330.", 'schapire1997'
"Schapire, R. E., Freund, Y., Bartlett, P. & Lee, W. S. 38 ERIC BAUER AND RON KOHAVI Wolpert, D. H.", "(1997), (1992),", "Boosting the margin: A new explanation for the effectiveness of voting methods, `Stacked generalization',", "`Machine Learning: Proceedings of the Fourteenth International Conference', Neural Networks 5,", "in D. Fisher, ed., Morgan Kaufmann, pp. 322-330. 241-259.", "Schapire, R. E., Freund, Y., Bartlett, P. & Lee, W. S. (1997), Boosting the margin: A new explanation for the effectiveness of voting methods, in D. Fisher, ed., `Machine Learning: Proceedings of the Fourteenth International Conference', Morgan Kaufmann, pp. 322-330. 38 ERIC BAUER AND RON KOHAVI Wolpert, D. H. (1992), `Stacked generalization', Neural Networks 5, 241-259.", 'schapire1997'
"Schapire, R. E., Freund, Y., Bartlett, P., & Lee, W. S.", "(1997). (1992).", "Boosting the margin: A new explanation for the effectiveness of voting methods. Query by committee.", "In Proceedings of the 14th International Conference on Machine Learning.", "Morgan Kaufmann. 205 Seung, H. S., Opper, M., & Sompolinsky, H.", "Schapire, R. E., Freund, Y., Bartlett, P., & Lee, W. S. (1997). Boosting the margin: A new explanation for the effectiveness of voting methods. In Proceedings of the 14th International Conference on Machine Learning. Morgan Kaufmann. 205 Seung, H. S., Opper, M., & Sompolinsky, H. (1992). Query by committee.", 'schapire1997'
"Schapire, R., Freund, Y., Bartlett, P., and Lee, W.", "(1997).", "Boosting the margin: A new explanation for the effectiveness of voting methods. In Machines That Learn - Snowbird.", "", "", "Schapire, R., Freund, Y., Bartlett, P., and Lee, W. (1997). Boosting the margin: A new explanation for the effectiveness of voting methods. In Machines That Learn - Snowbird.", 'schapire1997'
"Schapire, R., Y. Freund, P. Bartlett, and W.", "", "Lee (1997). Boosting the margin : A new explanation for the effectiveness of voting methods.", "", "(available at http://www.research.att.com/~yoav).", "Schapire, R., Y. Freund, P. Bartlett, and W. Lee (1997). Boosting the margin : A new explanation for the effectiveness of voting methods. (available at http://www.research.att.com/~yoav).", 'schapire1997'
"Schapire, R.E., Freund, Y., Bartlett, P., and Lee W.S.:", "", "Boosting the margin: A new explanation for the effectiveness of voting methods.", "Proceedings of the 11th International Conference on Machine Learning.", "Morgan Kaufmann (1997) 322-330.", "Schapire, R.E., Freund, Y., Bartlett, P., and Lee W.S.: Boosting the margin: A new explanation for the effectiveness of voting methods. Proceedings of the 11th International Conference on Machine Learning. Morgan Kaufmann (1997) 322-330.", 'schapire1997'
"Schapire, R.E., Freund, Y., Bartlett, P., and Lee,", "", "W.S.: Boosting the margin: A new explanation for the effectiveness of voting methods.", "Proceedings of the Fourteenth International Conference on Machine Learning.", "Morgan Kaufmann (1997) 322-330.", "Schapire, R.E., Freund, Y., Bartlett, P., and Lee, W.S.: Boosting the margin: A new explanation for the effectiveness of voting methods. Proceedings of the Fourteenth International Conference on Machine Learning. Morgan Kaufmann (1997) 322-330.", 'schapire1997'
"Schapire, R.E., Freund, Y., Bartlett, P., and Lee, W.S.", "1997.", "Boosting the Margin:", "", "", "Schapire, R.E., Freund, Y., Bartlett, P., and Lee, W.S. 1997. Boosting the Margin:", 'schapire1997'
"Schapire, R.E., Freund, Y., Bartlett, P., and Lee, W.S.", "1997.", "Boosting the Margin: A New Explanation for the Effectiveness of Voting Methods.", "In Proceedings of the 14th International Conference on Machine Learning,", "322-330. Morgan Kaufmann.", "Schapire, R.E., Freund, Y., Bartlett, P., and Lee, W.S. 1997. Boosting the Margin: A New Explanation for the Effectiveness of Voting Methods. In Proceedings of the 14th International Conference on Machine Learning, 322-330. Morgan Kaufmann.", 'schapire1997'
"Schapire, R.E., Y. Freund, P.", "", "Bartlett & W.S. Lee (1997), Boosting the margin: A new explanation for the effectiveness of voting methods,", "in Proceedings of the Fourteenth International Conference on Machine Learning,", "pp. 322-330. Morgan Kaufmann.", "Schapire, R.E., Y. Freund, P. Bartlett & W.S. Lee (1997), Boosting the margin: A new explanation for the effectiveness of voting methods, in Proceedings of the Fourteenth International Conference on Machine Learning, pp. 322-330. Morgan Kaufmann.", 'schapire1997'
"Shapire, R., Freund, Y., Bartlett, P. & Lee, W.", "(1997),", "Boosting the margin: a new explanation for the effectiveness of voting methods,", "Snowbird 1997 conference.", "", "Shapire, R., Freund, Y., Bartlett, P. & Lee, W. (1997), Boosting the margin: a new explanation for the effectiveness of voting methods, Snowbird 1997 conference.", 'schapire1997'
"R. Schapire, Y. Freund, P. Bartlett, and W. S. Lee.", "1997.", "Boosting the margin; a new explanation for the effectiveness of voting methods.", "In Proceedings of the Fourteenth International Conference on Machine Learning.", "Morgan Kaufmann Publishers, Inc., To appear. 11", "R. Schapire, Y. Freund, P. Bartlett, and W. S. Lee. Boosting the margin; a new explanation for the effectiveness of voting methods. In Proceedings of the Fourteenth International Conference on Machine Learning. Morgan Kaufmann Publishers, Inc., 1997. To appear. 11", 'schapire1997'
"Schapire, R. E., Freund, Y., Bartlett, P., & Lee, W. S.", "(1997).", "Boosting the Margin: A new explanation for the effectiveness of voting methods.", "", "", "Schapire, R. E., Freund, Y., Bartlett, P., & Lee, W. S. (1997). Boosting the Margin: A new explanation for the effectiveness of voting methods.", 'schapire1997'
"Robert E. Schapire, Yoav Freund, Peter Bartlett, and Wee Sun Lee.", "1997.", "Boosting the margin: A new explanation for the effectiveness of voting methods.", "In Machine Learning: Proceedings of the Fourteenth International Conference,", "9", "Robert E. Schapire, Yoav Freund, Peter Bartlett, and Wee Sun Lee. Boosting the margin: A new explanation for the effectiveness of voting methods. In Machine Learning: Proceedings of the Fourteenth International Conference, 1997. 9", 'schapire1997'
"Robert E. Schapire, Yoav Freund, Peter Bartlett, and Wee Sun Lee.", "1997.", "Boosting the margin: A new explanation for the effectiveness of voting methods.", "In Machine Learning: Proceedings of the Fourteenth International Conference,", "", "Robert E. Schapire, Yoav Freund, Peter Bartlett, and Wee Sun Lee. Boosting the margin: A new explanation for the effectiveness of voting methods. In Machine Learning: Proceedings of the Fourteenth International Conference, 1997.", 'schapire1997'
"R.E. Schapire, Y. Freund, P. Bartlett,", "", "and W.S. Leee. Boosting the margin: A new explanation for the effectiveness of voting methods. In Machines That Learn - Snowbird,", "1997.", "1", "R.E. Schapire, Y. Freund, P. Bartlett, and W.S. Leee. Boosting the margin: A new explanation for the effectiveness of voting methods. In Machines That Learn - Snowbird, 1997. 1", 'schapire1997'
"R. Schapire, Y. Freund, P. Bartlett, and W. Lee.", "1997.", "Boosting the margin: a new explanation for the effectiveness of voting methods.", "In ICML-97,", "pages 322330,", "R. Schapire, Y. Freund, P. Bartlett, and W. Lee. Boosting the margin: a new explanation for the effectiveness of voting methods. In ICML-97, pages 322330, 1997.", 'schapire1997'
"Schapire, R.E., Freund, Y., Bartlett, P., and Lee,", "", "W.S. Boosting the Margin: A New Explanation for the Effectiveness of Voting Methods.", "In Proceedings of the 14th International Conference on Machine Learning,", "322-330. Morgan Kaufmann.", "Schapire, R.E., Freund, Y., Bartlett, P., and Lee, W.S. Boosting the Margin: A New Explanation for the Effectiveness of Voting Methods. In Proceedings of the 14th International Conference on Machine Learning, 322-330. Morgan Kaufmann.", 'schapire1997'
"Robert E. Schapire.", "1997.", "Using output codes to boost multiclass learning problems.", "In Machine Learning: Proceedings of the Fourteenth International Conference,", "pages 313-321,", "Robert E. Schapire. Using output codes to boost multiclass learning problems. In Machine Learning: Proceedings of the Fourteenth International Conference, pages 313-321, 1997.", 'schapire1997u'
"Robert E. Schapire.", "1997.", "Using output codes to boost multiclass learning problems.", "In Machine Learning: Proceedings of the Fourteenth International Conference,", "", "Robert E. Schapire. Using output codes to boost multiclass learning problems. In Machine Learning: Proceedings of the Fourteenth International Conference, 1997.", 'schapire1997u'
"R. E. Schapire.", "1997.", "Using output codes to boost multiclass learning problems.", "In Machine Learning: Proceedings of the Fourteenth International Conference (ICML '97),", "pages 313-321. Morgan Kaufmann,", "R. E. Schapire. Using output codes to boost multiclass learning problems. In Machine Learning: Proceedings of the Fourteenth International Conference (ICML '97), pages 313-321. Morgan Kaufmann, 1997.", 'schapire1997u'
"Schapire, R. E.", "(1997).", "Using output codes to boost multiclass learning problems.", "Tech. rep.,", "AT&T Research.", "Schapire, R. E. (1997). Using output codes to boost multiclass learning problems. Tech. rep., AT&T Research.", 'schapire1997um'
"Schapire, R. & Singer, Y.", "(1998),", "Improved boosting algorithms using confidence-rated predictions,", "in `Proceedings of the Eleventh Annual Conference on Computational Learning Theory'.", "43", "Schapire, R. & Singer, Y. (1998), Improved boosting algorithms using confidence-rated predictions, in `Proceedings of the Eleventh Annual Conference on Computational Learning Theory'. 43", 'schapire1998'
"Robert E. Schapire and Yoram Singer.", "1998.", "Improved boosting algorithms using confidence-rated predictions.", "In Proceedings of the Eleventh Annual Conference on Computational Learning Theory,", "", "Robert E. Schapire and Yoram Singer. Improved boosting algorithms using confidence-rated predictions. In Proceedings of the Eleventh Annual Conference on Computational Learning Theory, 1998.", 'schapire1998'
"Schapire, R. E., Freund, Y., Bartlett, P., & Lee, W. S.", "(1998).", "Boosting the margin: a new explanation for the effectiveness of voting methods.", "", "Annals of Statistics (to appear).", "Schapire, R. E., Freund, Y., Bartlett, P., & Lee, W. S. (1998). Boosting the margin: a new explanation for the effectiveness of voting methods. Annals of Statistics (to appear).", 'schapire'
"Robert E. Schapire and Yoram Singer. BoosTexter:", "1998.", "A system for multiclass multi-label text categorization.", "Unpublished manuscript,", "", "Robert E. Schapire and Yoram Singer. BoosTexter: A system for multiclass multi-label text categorization. Unpublished manuscript, 1998.", 'schapire1998mm'
"Robert E. Schapire Yoram Singer.", "", "Improved boosting algorithms using confidence-rated predictions.", "", "Submitted for publication. 17", "Robert E. Schapire Yoram Singer. Improved boosting algorithms using confidence-rated predictions. Submitted for publication. 17", 'schapire1998'
"Robert E. Schapire Yoram Singer.", "", "Improved boosting algorithms using confidence-rated predictions.", "", "Submitted for publication.", "Robert E. Schapire Yoram Singer. Improved boosting algorithms using confidence-rated predictions. Submitted for publication.", 'schapire1998'
"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.", "(1994).", "Inganas and M.R.", "Andersson, J Appl. Phys.,", "76, 893, ", "M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson, J Appl. Phys., 76, 893, (1994).", 'ahlskog1994a'
"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,", "(1994).", "", "Journal of Applied Physics,", "76, 893, ", "M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson, Journal of Applied Physics, 76, 893, (1994).", 'ahlskog1994a'
