@relation "citeseer-face"

@attribute reference string
@attribute class {'675', '594', '279', '198', '678', '597', '51', '54', '57', '201', '120', '600', '204', '123', '603', '522', '441', '360', '207', '126', '606', '525', '444', '363', '282', '129', '681', '609', '528', '447', '366', '285', '684', '369', '288', '687', '60', '61', '63', '66', '69', '210', '3', '213', '132', '6', '612', '531', '450', '216', '135', '9', '615', '534', '453', '372', '291', '219', '138', '454', '455', '690', '618', '537', '456', '375', '294', '693', '378', '297', '696', '699', '72', '75', '78', '300', '303', '222', '141', '702', '621', '540', '306', '225', '705', '624', '543', '462', '381', '228', '147', '708', '627', '546', '465', '384', '549', '468', '387', '81', '84', '87', '231', '150', '711', '630', '315', '234', '153', '714', '633', '552', '471', '390', '237', '156', '717', '636', '474', '393', '159', '639', '558', '477', '396', '12', '399', '18', '90', '93', '96', '99', '240', '321', '402', '720', '162', '243', '324', '405', '723', '642', '561', '480', '165', '246', '327', '408', '726', '645', '564', '483', '168', '249', '729', '648', '567', '486', '21', '489', '24', '27', '330', '411', '171', '252', '333', '414', '732', '651', '570', '174', '255', '336', '417', '735', '654', '573', '492', '177', '258', '339', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '501', '105', '420', '504', '180', '108', '261', '342', '423', '741', '660', '507', '183', '264', '345', '426', '744', '663', '582', '186', '267', '348', '429', '747', '666', '585', '189', '669', '588', '42', '45', '48', '111', '510', '114', '513', '117', '270', '351', '432', '750', '516', '192', '354', '435', '753', '672', '591', '519', '195', '357', '438'}


@data
"C. W. Fraser and D. R. Hanson. A code generation interface for ANSI C. Software|Practice & Experience, 21(9):963-988, Sept. 1991.", '678'
"C. W. Fraser and D. R. Hanson. A code generation interface for ANSI C. Software|Practice & Experience, 21(9):963-988, Sept. 1991.", '678'
"R. Sosi<=c. A procedural interface for program directing. Software|Practice and Experience, 25(7):767-787, July 1995.", '681'
"Henry A. Rowley, Shumeet Baluja, and Takeo Kanade. Human Face Detection in Visual Scenes. source unknown, July 1995.", '684'
"G. Yang and T.S. Huang. Human Face Detection in a Complex Background. Pattern Recognition, 27(1):53-63, Jan 1994.", '687'
"P.J. Burt. A multiscale face recognition system. unpublished.", '690'
"System V Interface Denition, Volume II, AT&T (1986).", '693'
"Angelos Bilas and Edward W. Felten. Fast RPC on the SHRIMP Virtual Memory Mapped Network Interface.", '696'
"Becker, S. and Hinton, G. E. (1992). A self-organizing neural network that discovers surfaces in random-dot stereograms. Nature, 355:161-163.", '699'
"ALFELD, P., NEAMTU, M., AND SCHUMAKER, L. L. BernsteinBezier polynomials on circles, sphere, and sphere-like surfaces. Preprint.", '702'
"Cohn, H. (1967). Conformal mappings on Riemann surfaces. McGraw-Hill, New York.", '705'
"M. P. D. Carmo, Differential Geometry of Curves and Surfaces. Englewood Cliffs, NJ: Prentice Hall Inc., 1976.", '708'
"M. L. Connolly. Solvent-accessible surfaces of proteins and nucleic acids. Science, 221:709-713, 1983.", '711'
"M. L. Connolly, Solvent-accessible surfaces of proteins and nucleic acids, Science 221 (1983) 709-713.", '711'
"Langley, P., Zytkow, J., Bradshaw, G., and Simon, H. (1983). Three facets of scientific discovery. In IJCAI-83, pages 465468, Karlsruhe.", '714'
"I. Sutherland, R. Sproull, and R. Schumacker. A characterization of ten hiddensurface algorithms. Computing Surveys, 6(1):1-55, 1974.", '717'
"D. Keller, Reconstruction of STM and AFM images distorted by finite-sized tips, Surface Science 253 (1991), pp. 353-364.", '720'
"D. Keller, Reconstruction of STM and AFM images distorted by finite-sized tips, Surface Science 253 (1991), pp. 353-364.", '720'
"A.A. Lushnikov. Coagulation in finite systems. J. Colloid and Interface Science, 65:276285, 1978.", '723'
"A.A. Lushnikov. Coagulation in finite systems. J. Colloid and Interface Science, 65:276-285, 1978.", '723'
"A.A. Lushnikov, Coagulation in finite systems, J. Colloid and Interface Science 65 (1978), 276-285.", '723'
"A.A. Lushnikov. Coagulation in finite systems. J. Colloid and Interface Science, 65:276285, 1978.", '723'
"Celniker, G.,  and  G  ossard,D.  Deformable  curveandsurface finite-elements forfree-fromshapedesign. ComputerGraphics25, 4(July1991), 257-266.", '726'
"T. Banchoff and C. Strauss. Complex Function Graphs, Dupin Cylinders, Gauss Map, and Veronese Surface. Computer Geometry Films. Brown University, 1977.", '729'
"Eve V. Clark and Herbert H. Clark. When nouns surface as verbs. Language, 55:1979, 767-811.", '732'
"Bern, M. (1990). Hidden surface removal for rectangles. J. Comp. and Sys. Sci., 40, 49-69.", '735'
"Padberg M. and G. Rinaldi, 1990. Facet identification for the symmetric traveling salesman problem.", '738'
"Langlois, J. H. and Roggman, L. A. (1990). Attractive faces are only average. Psychological Science, 1:115-121.", '741'
"R. Prieto-Diaz. Implementing Faceted Classification For Software Reuse. CACM Vol 34 1991 pp 89-97 (1991)", '744'
"Thomas O. Binford. Inferring surfaces from images. Artificial Intelligence, 17:205-244, 1981.", '747'
"Ramachandran, V.S. (1985), Apparent motion of subjective surfaces, Perception, 14, pp.127-134.", '750'
"G. E. P. Box and N. R. Draper. Empirical ModelBuilding and Response Surfaces. Wiley, 1987.", '753'
"G. E. P. Box and N. R. Draper. Empirical Model-Building and Response Surfaces. Wiley, 1987.", '753'
