@relation "citeseer-reasoning"

@attribute reference string
@attribute class {'279', '198', '600', '603', '522', '441', '360', '606', '525', '444', '363', '282', '609', '528', '447', '366', '285', '369', '288', '3', '6', '612', '531', '450', '615', '534', '453', '372', '291', '618', '537', '456', '375', '294', '459', '378', '297', '702', '621', '540', '705', '624', '543', '462', '381', '708', '627', '546', '465', '384', '549', '468', '387', '711', '630', '714', '633', '552', '471', '390', '634', '717', '636', '555', '474', '393', '639', '558', '477', '396', '12', '399', '15', '18', '801', '720', '804', '723', '642', '561', '480', '807', '726', '645', '564', '483', '729', '648', '567', '486', '21', '489', '24', '27', '810', '813', '732', '651', '570', '816', '735', '654', '573', '492', '819', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '105', '900', '108', '903', '822', '741', '660', '906', '825', '744', '663', '582', '909', '828', '747', '666', '585', '40', '669', '42', '45', '48', '111', '114', '117', '912', '831', '750', '915', '834', '753', '672', '591', '918', '837', '594', '675', '756', '597', '678', '759', '51', '54', '57', '120', '201', '123', '204', '126', '207', '921', '840', '129', '924', '843', '681', '762', '927', '846', '684', '765', '849', '687', '768', '60', '63', '66', '69', '210', '132', '213', '135', '216', '138', '219', '852', '690', '771', '855', '774', '858', '696', '777', '699', '72', '75', '78', '300', '141', '222', '303', '144', '225', '306', '147', '228', '309', '861', '780', '864', '783', '867', '786', '789', '81', '84', '87', '150', '231', '312', '153', '234', '315', '156', '237', '318', '159', '873', '792', '876', '795', '879', '798', '90', '96', '99', '400', '402', '321', '240', '403', '324', '243', '162', '327', '165', '408', '168', '882', '885', '888', '330', '411', '333', '252', '171', '414', '336', '255', '174', '417', '339', '258', '177', '891', '894', '897', '420', '501', '342', '423', '504', '345', '264', '183', '426', '507', '185', '348', '186', '429', '189', '510', '432', '513', '354', '192', '435', '357', '276', '195', '438', '519'}


@data
"Kenneth Forbus. The qualitative process engine. In J. de Kleer D. Weld, editor, Readings in Qualitative Reasoning. Morgan Kaufmann, 1980.", '471'
"Stru, P. 1990. Problems of interval-based qualitative reasoning. In Weld, D., and de Kleer, J., eds., Qualitative Reasoning about Physical Systems. Morgan Kaufmann.", '474'
"Drummond, M. 1986. A Representation of Action and Belief for Automatic Planning Systems. Reasoning About Actions and Plans, M. Georgeff and A. Lansky, Eds., Morgan Kauffman. pp. 189-211.", '477'
"Mark Drummond. A representation of action and belief for automatic planning systems. In Proceedings of Reasoning About Actions and Plans, pages 189-211, Timberline, Oregon, 1986. Morgan Kauffman.", '477'
"Gaines, B.R. (1991) Empirical investigation of knowledge representation servers: design issues and applications experience with KRS. AAAI Spring Symposium: Implemented Knowledge Representation and Reasoning Systems. pp. 87-101. Stanford (March)also SIGAR", '480'
"Nado, B., Van Baalen, J, Fikes, R. JOSIE: An integration of specialized representation and reasoning tools. Working notes. AAAI Spring Symposium Series. March, 1991.", '483'
"Gregg Collins, Lawrence Birnbaum, Bruce Krulwich, and Michael Freed. A modelbased approach to learning from planning failures. In Notes of the 1991 AAAI Workshop on Model-Based Reasoning. AAAI, 1991.", '486'
"Anand S. Rao and Michael P. Georgeff, `A modeltheoretic approach to the verication of situated reasoning systems', in Proceedings of IJCAI 93, pp. 318324, Chambery, France, (28 August 3 September 1993). IJCAI.", '489'
"Anand S. Rao and Michael P. Georgeff. A model-theoretic approach to the verification of situated reasoning systems. In Proceedings of IJCAI-93, pages 318-324, Chambery, France, 28 August - 3 September 1993. IJCAI.", '489'
"Anand S. Rao and Michael P. Georgeff. A model-theoretic approach to the verification of situated reasoning systems. In Proceedings of IJCAI93, pages 318-324, Chambery, France, 28 August - 3 September 1993. IJCAI.", '489'
"T.R. Davies and S.J. Russell. A logical approach to reasoning by analogy. In Proceedings of IJCAI-87, pages 264-270, Milan, Italy, August 23-28 1987.", '492'
"S. Sripada. A metalogical programming approach to reasoning about time in knowledge bases. In Proceedings of IJCAI 93, 1993.", '495'
"Martin C. Golumbic and Ron Shamir. Complexity and algorithms for reasoning about time: A graph-theoretic approach. Journal of the Association for Computing Machinery, 40(5):1128-1133, November 1993.", '498'
"Bernhard Nebel and Hans-Jurgen Burckert. Reasoning about temporal relations: A maximal tractable subclass of Allen's interval algebra. Journal of the Association for Computing Machinery, 42(1):43-66, January 1995.", '501'
"B. Nebel and H.-J. Burckert. Reasoning about temporal relations: A maximal tractable subclass of Allen's interval algebra. Journal ACM, 42(1), pp.43-66, 1995.", '501'
"J. Renz and B. Nebel. On the complexity of qualitative spatial reasoning: A maximal tractable fragment of the Region Connection Calculus.", '504'
"B. Nebel. Solving hard qualitative temporal reasoning problems: Evaluating the efficiency of using the ORD-Horn class. Constraints, 3(1), pp.175-190, 1997.", '507'
"Shastri, L. and Ajjanagadde, V. (1993). From simple associations to systematic reasoning: A connectionist representation of rules, variables, and dynamic bindings using temporal synchrony. Behavioral and Brain Sciences, 16.", '510'
"Shastri, L. (1993). A computational model of tractable reasoning: Taking inspiration from", '513'
"Fahiem Bacchus. Representing and Reasoning with Probabilistic Knowledge. PhD  thesis, University of Alberta, Edmonton, Alta., Canada, 1988. Also available from MIT Press,  1990.", '519'
"F. Bacchus. Representing and Reasoning With Probabilistic Knowledge. MIT Press, 1990.", '519'
"F. Bacchus. Representing and Reasoning with Probabilistic Knowledge. MIT Press, 1990.", '519'
"Shoham, Y. 1988. Reasoning about Change: Time and Causation from the Standpoint of Artificial Intelligence. Cambridge, MA: MIT Press.", '522'
"Pask, G. (1975). Conversation, Cognition and Learning. Amsterdam, Elsevier.  Peirce, C.S. (1898). Reasoning and the Logic of Things. Cambridge, Massachusetts, Harvard University Press.", '525'
"Stich, S.P. and Nisbett, R.E. (1984). Expertise, justification and the psychology of inductive reasoning. The Authority of Experts. pp.226-241. Bloomington, Indiana, Indiana University Press.", '528'
"Stich, S.P. & Nisbett, R.E. (1984). Expertise, justification and the psychology of inductive reasoning. Haskell, T.L., Ed. The Authority of Experts. pp. 226-241. Bloomington, Indiana: Indiana University Press.", '528'
"Stich, S.P. & Nisbett, R.E. (1984). Expertise, justification and the psychology of inductive reasoning. Haskell, T.L., Ed. The Authority of Experts. pp. 226-241. Bloomington, Indiana: Indiana University Press.", '528'
"S. Amarel. On representations of problems of reasoning about actions. In D. Michie, editor, Machine Intelligence 3, pages 131 - 171. American Elsevier, New York, NY, 1968.", '531'
"Amarel, S. (1968), On Representations of Problems of Reasoning about Actions, in D. Michie, ed., Machine Intelligence 3, Edinburgh: Edinburgh University Press, pp. 131171.", '531'
"Louise Stark and Kevin Bowyer, Achieving Generalized Object Recognition through Reasoning about Association of Function to Structure, IEEE Transactions on Pattern Analysis and Machine Intelligence, 13, October 1991.", '534'
"Dobson, M. (1994). Towards an analysis of aspects of visual media in relation to learning outcomes: A study in improving syllogistic reasoning skills. Paper presented at World Conference on Educational Multimedia and", '537'
"R. L. Rivest and R. Sloan, A New Model for Inductive Inference, Second Conference on Theoretical Aspects of Reasoning about Knowledge, 1988.", '540'
"Jungert, E. (1988). Extended symbolic projection used in a knowledge structure for spatial reasoning. In Proceedings of the 4th BPRA Conf. on Pattern Recognition. Springer-Verlag, Berlin.", '543'
"Li, M. & Vitanyi, P. M. (1989). Inductive Reasoning and Kolmogorov Complexity. In Proceedings of the Fourth Annual Conference on Structure in Complexity Theory, (pp. 165185).", '546'
"M. Li and P. Vitanyi. Inductive reasoning and Kolmogorov complexity. J. Computer and System Sciences, 44(2):343-384, 1992.", '549'
"Ming Li and Paul M. B. Vitanyi. Inductive reasoning and kolmogorov complexity. Journal of Computer and System Sciences, 44:342-384, 1992.", '549'
"Li, Z., and D'Ambrosio, B. 1994. Efficient inference in bayes nets as a combinatorial optimization problem. Int'l, Journal of Approximate Reasoning 11(1):55-81.", '552'
"ZHANG & POOLE  Li, Z., & D'Ambrosio, B. (1994). Efficient inference in Bayes networks as a combinatorial optimization problem. International Journal of Approximate Reasoning, 11(1), 5581.", '552'
"D'Ambrosio (1995). Local expression languages for probabilistic dependence. International Journal of Approximate Reasoning, 13(1), 6181.", '555'
"K. Thornber, A key to fuzzy-logic inference, International Journal of Approximate Reasoning, vol. 8, pp. 105-121, 1993.", '558'
"Gaines, B.R. 1993b. Modeling practical reasoning. International Journal of Intelligent Systems 8(1) 51-70.", '561'
"Francesco Ricci. Constraint reasoning with learning automata. International Journal of Intelligent Systems, 9(12):1059-1082, December 1994.", '564'
"P. Bonissone and P. Halverson, Time-Constrained Reasoning under Uncertainty, The Journal of Real-Time Systems, vol. 2, Kluwer Academic Publishers, pp. 25-45, 1990.", '567'
"J. Elgot-Drapkin and D. Perlis. Reasoning situated in time I: Basic concepts. Journal of Experimental and Theoretical Artificial Intelligence, 2(1):75-98, 1990.", '570'
"Jim Sanborn, B. Bloom, and D. McGrath. A Situated Reasoning Architecture for Spacebased Repair and Replace Tasks, In !989 Goddard Conference on Space Applications of ARtificial Intelligence, Greenbelt, MD. NASA Pub # 3033.", '573'
"Chouraqui E., Construction of a Model for Reasoning by Analogy, in Proceedings of the European Conference on Artificial Intelligence, Orsay, France, 1982.", '576'
"Conry, S. E., MacIntosh, D. J. and Meyer, R. A. 1990. DARES: A Distributed Automated REasoning System. In Proceedings of the Eighth National Conference on Artificial Intelligence, 78-85. AAAI Press.", '579'
"Conry, S. E., MacIntosh, D. J. & Meyer, R. A. (1990). DARES: A Distributed Automated REasoning System. In Proceedings of the Eighth National Conference on Artificial Intelligence. AAAI Press, 78-85.", '579'
"Conry, Susan E.; MacIntosh, Douglas J.; and Meyer, Robert A. 1990. DARES: A Distributed Automated REasoning System. In Proceedings of the Eighth National Conference on Artificial Intelligence. 78-85.", '579'
"J. Doyle, Rationality and its Roles in Reasoning (extended version), AAAI90, Boston, MA, 1990.", '582'
"J. Doyle, Rationality and its Roles in Reasoning (extended version), Proceedings of the National Conference on Artificial Intelligence, Boston, MA, 1990, pp. 10931100.", '582'
"Simmons, R. (1986). Commonsense arithmetic reasoning. In 5th-AAAI", '585'
"Simmons, R. 1986. Commonsense arithmetic reasoning. In Proceedings of the Fifth National Conference on Artificial Intelligence, 118124.", '585'
"R. Simmons. Commonsense arithmetic reasoning. In Proceedings AAAI-86, pages 118-124, 1986.", '585'
"S. Hanks and D. McDermott. Default reasoning, nonmonotonic logics and the frame problem. In Proceedings of AAAI-86, pages 328-333, 1986.", '591'
"Reasoning. Case-Based Reasoning: Papers from the 1993 Workshop, Tech. Report WS-93-01, (pp 86-93). AAAI Press, Washington, D.C.", '594'
"empirical comparison. In D. W. Aha (Ed.) Case-Based Reasoning: Papers from the 1994 Workshop (Technical Report WS-94-01). Menlo Park, CA: AAAI Press.", '597'
"Reasoning: Papers from the 1994 Workshop (Technical Report WS-94-01). Menlo Park, CA: AAAI Press.", '597'
"(Ed.), Case-Based Reasoning: Papers from the 1994 Workshop (Technical Report WS-94-01). Menlo Park, CA: AAAI Press.", '597'
"Gaines, B.R. and Norrie, D.H. (1994). Mediator: information and knowledge management for the virtual factory. SIGMAN AAAI-94 Workshop: Reasoning about the Shop Floor. pp.30-39. Menlo Park, California, AAAI.", '600'
"Gaines, B.R., Norrie, D.H., Mediator: Information and Knowledge Management for the Virtual Factory, Proc. of SIGMAN AAAI 94 Workshop on Reasoning About the Shop Floor, 1994.", '600'
"Gaines, B.R. and Norrie, D.H. (1994). Mediator: information and knowledge management for the virtual factory. SIGMAN AAAI-94 Workshop: Reasoning about the Shop Floor. pp.30-39. Menlo Park, California, AAAI.", '600'
"B.R. Gaines and D.H. Norrie, Mediator: information and knowledge management for the virtual factory, in SIGMAN AAAI-94 Workshop: Reasoning about the Shop Floor. AAAI: Menlo Park, California. p. 30-39, 1994.", '600'
"Simoudis, E., Livezy, B. & Kerber, R. (1994), Integrating inductive and deductive reasoning for database mining, in Proceedings of the AAAI Knowledge Discovery in Databases Workshop, Seattle, WA.", '603'
"Simoudis, E., Livezey, B. & Kerber, R. (1994), Integrating inductive and deductive reasoning for database mining, in Proceedings of the AAAI Knowledge Discovery in Databases Workshop, Seattle, WA.", '603'
"R. Sun. A two-level hybrid architecture for structuring knowledge for commonsense reasoning. In R. Sun and L.A. Bookman, editors, Computational Architectures Integrating Neural and Symbolic Processing. Kluwer, Boston, 1995.", '606'
"Lacher, R.C. and Nguyen, K. D.. (1995). Hierarchical Architectures for Reasoning, Chapter 4 In Ron Sun and Lawrence A. Bookman, editors, Computational Architectures Integrating Neural and Symbolic Processes, Kluwer Academic Publishers, Boston, USA", '609'
"Sun, R. 1994. Integrating Rules and Connectionism for Robust Commonsense Reasoning, John Wiley and Sons. Inc.", '612'
"R. E. Neapolitan, Probabilistic Reasoning in Expert Systems. New York NY.: John Wiley & Sons, 1990.", '615'
"E. H. Shortliffe and B. G. Buchanan, A Model of Inexact Reasoning in Medicine, in: Rule-Based Expert Systems, B. G. Buchanan and E. H. Shortliffe (Eds.), 233262, Addison-Wesley, Reading, MA (1984).", '618'
"Shortliffe, E. H. and Buchanan, B. G. (1985), A model of inexact reasoning in medicine, Rule-Based Expert Systems, AddisonWesley, New York, pp. 233-262.", '618'
"Shortliffe, E., & Buchanan, G. B. (1975). A model of inexact reasoning in medicine. Math. Biosci., 23, 351379.", '621'
"E.H. Shortcliffe and B.G. Buchanan. A model of inexact reasoning in medicine. Mathematical Biosciences, 23:351-379, 1975.", '621'
"D. Weld. Reasoning about model accuracy. Technical Report 91-05-02, Department of Computer Science and Engineering, University of Washington, Seattle, WA,", '624'
"King, J. J. 1981. Query Optimization by Semantic Reasoning. Ph.D. Dissertation, Stanford University, Department of Computer Science.", '627'
"King, J. J. 1981. Query Optimization by Semantic Reasoning. Ph.D. Dissertation, Stanford University, Department of Computer Science.", '627'
"Jonathan J. King. Query Optimization by Semantic Reasoning. PhD thesis, Stanford  University, Department of Computer Science, 1981.", '627'
"King, J. J. (1981). Query Optimization by Semantic Reasoning. Ph.D. Dissertation, Stanford University, Department of Computer Science.", '627'
"King, J. J. 1981. Query Optimization by Semantic Reasoning. Ph.D. Dissertation, Stanford University, Department of Computer Science.", '627'
"Jonathan Jay King. Query Optimization by Semantic Reasoning. PhD thesis, Stanford University, Department of Computer Science, 1981.  30", '627'
"King, J. J. (1981). Query optimization by semantic reasoning. Technical Report STAN-CS-81-857, Stanford University.", '630'
"Matthew Ginsberg and David Smith. Reasoning about action I: A possible worlds approach. Stanford Logic Group Report Logic-87-9, Stanford University, 1987.", '633'
"Matthew Ginsberg and David Smith. Reasoning about action II: The qualification problem. Stanford Logic Group Report Logic-87-10, Stanford University, 1987.", '634'
"M. Ginsberg and D. Smith. Reasoning about action I: A possible worlds approach. Artificial Intelligence, 35(2):165-196, June 1988.", '636'
"M. Winslett. Reasoning about action using a possible models approach. In Proc. 7th Nat. Conf. on A.I., page 89, August 1988.", '639'
"Cox, M T, Ram, A (1991), Using introspective reasoning to select learning strategies. In R Michalski and G Tecuci (Eds.) Proc. Int. Work. on Multistrategy Learning, p. 217-230.", '642'
"Ram, A., and Cox, M. T. (1992); Introspective Reasoning Using Meta-Explanations for Multistrategy Learning. Machine Learning: A Multistrategy Approach IV, (eds. R. S. Michalski. and Tecuci, G.); Morgan Kaufmann.", '645'
"Burstein M. H. Concept Formation by Analogical Reasoning and Debugging, in Michalski R., Carbonell J. & Mitchell T. (eds) Machine Learning: An Artificial Intelligence Approach, Vol. 2, Morgan Kaufmann 1986, pp.351-370.", '648'
"Dean, T., & Kanazawa, K. (1989). A model for reasoning about causality and persistence. Computational Intelligence, 5, 142-150.  Dechter, R. (in press). Bucket elimination: A unifying framework for probabilistic inference. In M. I. Jordan (Ed.), Learning", '651'
"Dean, Thomas and Kanazawa, Keiji 1989. A model for reasoning about persistence and causation. Computational Intelligence 5(3):142-150.", '651'
"Hahn, U.; Schnattinger, K.; and Klenner, M. 1995. Learning from texts: A terminological meta-reasoning perspective. In IJCAI-95 Workshop New Approaches to Learning for Natural Language Processing, 143-150.", '654'
"Schnattinger, K.; Hahn, U.; and Klenner, M. 1995. Terminological meta-reasoning by reification and multiple contexts. In Proc. EPIA'95, 1-16.  Soderland, S.; Fisher, D.; Aseltine, J.; and Lehnert, W.", '657'
"Smyth, B., and Keane, M. T. 1995. Remembering to forget a competence-preserving case deletion policy for case-based reasoning. In Proc. of IJCAI-95, 377382.", '660'
"Yaakov Kerner. Case-based evaluation in computer chess. In Proceedings of the European Workshop of Case-Based Reasoning. Springer-Verlag, 1994.", '663'
"EWCBR-93,First European Workshop on Case-based Reasoning, Posters and Presentations, 1-5 November 1993. Vol. I-II. University of Kaiserslautern.", '666'
"Wess, S., and Globig, C. 1993. Case-based and symbolic classification | a case study |. In Wess, S.; Althoff, K.-D.; and Richer, M. M., eds., Topics in Case-Based Reasoning(EWCBR-93), 76-91.", '669'
"K.-D. Althoff, R. Bergmann, F. Maurer, S. Wess, M. Manago, E. Auriol, N. Conruyt, R. Traphner, M. Braeuer, S. Dittrich, (1993). Integrating Inductive and Case-Based Technologies for Classification and Diagnostic Reasoning. In: E.", '672'
"Skalak, D. B. (1993). Using a genetic algorithm to learn prototypes for case retrieval and classi fication. Case-Based Reasoning:", '675'
"B. Leng, B. Buchanan, and H. Nicholas. Protein secondary structure prediction using two-level case-based reasoning. In J. of Computational Biology, pages 25-38, 1994.", '678'
"Grimnes, M., Aamodt, A., A two layer case-based reasoning architecture for medical image understanding, in Proccedings of EWCBR, 1996", '681'
"Aamodt, A. and Plaza, E. Case-Based Reasoning: Foundational issues, methodological variations, and system approaches, AI Communications, Vol.7, No.1, March (1994) 39-59.", '684'
"Agnar Aamodt, Enric Plaza. Case-Based Reasoning: Foundational Issues, Methodological Variations, and System Approaches. AI Communications, Vol .7, No.1 March 1994, pp. 39-59.", '684'
"A. Aamodt, E. Plaza: Case-Based Reasoning: Foundational issues, current state, and future trends, AI Communications , March 1994, pp 39-59.", '684'
"A. Aamodt and E. Plaza, Case-Based Reasoning: Foundational issues, methodological variations, and system approaches, AI Communications, Vol.7, No.1, March (1994) 39-59.", '684'
"M. V. Nagendraprasad, S. E. Lander, and V. R. Lesser, Retrieval and Reasoning in Distributed Case Based Systems, January 1994, Unpublished working paper.", '687'
"Allen, B.P, Case-based reasoning: Business applications, Communication of the ACM 37 (3), 1994, 40-44.", '690'
"Hammond, K.J.: (Ed.) Proceedings: Second Case-Based Reasoning Workshop. Pensacola Beach, FL:Morgan Kaufmann (1989).", '696'
"Hammond, K.J.: (Ed.) Proceedings: Second Case-Based Reasoning Workshop. Pensacola Beach, FL:Morgan Kaufmann (1989).", '696'
"Hammond, K.J.: (Ed.) Proceedings: Second Case-Based Reasoning Workshop. Pensacola Beach, FL:Morgan Kaufmann, (1989).", '696'
"Hammond, K.J.: (Ed.) Proceedings: Second Case-Based Reasoning Workshop. Pensacola Beach, FL:Morgan Kaufmann (1989).", '696'
"Ross, B.H. (1989). Some psychological results on case-based reasoning. In Hammond, K. (Ed.), Proceedings of the workshop on case-based reasoning (DARPA). Pensacola Beach, Florida: Morgan Kaufmann.", '696'
"Hansson, Othar and Mayer, Andrew 1989. Heuristic search as evidential reasoning. In Proceedings of the Fifth Workshop on Uncertainty in AI. 152-161.", '699'
"Epstein, S. L. 1995a. On Heuristic Reasoning, Reactivity, and Search. In Proceedings of the IJCAI-95, in press.", '702'
"Reyle, U. (1995). On reasoning with ambiguities. In Proceedings of EACL", '705'
"M. Denecker, L. Missiaen, and M. Bruynooghe. Temporal reasoning with abductive event calculus. In Proceedings of ECAI 92, Vienna, 1992.", '708'
"M. Denecker, L. Missiaen, and M. Bruynooghe. Temporal reasoning with abductive event calculus. In Proceedings of ECAI 92, Vienna, 1992.", '708'
"Cohn, A. G., Cui, Z., and Randell, D. A. (1992). Logical and computational aspects of spatial reasoning. In Pribbenow, S. and Schlieder, C. (Eds.), Spatial Concepts: Connecting Cognitive Theories with Formal Representations. ECAI-92 Workshop.", '711'
"COHN, A. G., CUI, Z., and RANDELL, D. A. Logical and computational aspects of spatial reasoning. In PRIBBENOW, S. and SCHLIEDER, C., editors, Spatial Concepts: Connecting Cognitive Theories with Formal Representations. ECAI-92 Workshop, Aug. 1992.", '711'
"Cohn, A. G., Cui, Z., and Randell, D. A. (1992). Logical and computational aspects of spatial reasoning. In Pribbenow, S. and Schlieder, C. (Eds.), Spatial Concepts: Connecting Cognitive Theories with Formal Representations. ECAI-92 Workshop.", '711'
"C. Freksa. Qualitative spatial reasoning. In D. Mark and A. Frank, editors, Cognitive and Linguistic Aspects of Geographic Space, NATO Advanced Studies Institute. Kluwer, Dordrecht, 1990.", '714'
"Frank, A. U. (1992). Qualitative spatial reasoning with cardinal directions. Journal of Visual Languages and Computing, 3, 343-371.", '717'
"FRANK, A. U. Qualitative spatial reasoning with cardinal directions. In KAINDL,  H., editor, 7. Osterreichische Artificial Intelligence Tagung. Springer-Verlag, 1991.", '720'
"Frank, A. U. (1991). Qualitative spatial reasoning with cardinal directions. In Kaindl, H. (Ed.), 7. Osterreichische Artificial Intelligence Tagung. Springer-Verlag.", '720'
"Kuipers, B. 1993. Reasoning with qualitative models. Artificial Intelligence 59:125-132.", '723'
"Horacek, H. 1990. Reasoning with uncertainty in computer chess. Artificial Intelligence 43:37-56.", '726'
"Stallman, R. M., and Sussman, G. J. 1977. Forward reasoning and dependency-directed backtracking in a system for computer-aided circuit analysis. Artificial Intelligence 9:135 - 196.", '729'
"Kwok, A.D., Norrie, D.H., Integrating Multiple Reasoning in Intelligent Agent System, Integrated Computer-Aided Engineering, 1(2), pp. 83-90, 1993a.", '732'
"A.D. Kwok and D.H. Norrie, Integrating multiple reasoning in intelligent agent systems, Integrated ComputerAided Engineering, vol. 1, no. 2 pp. 83-90, 1993.", '732'
"M. Ishii, T. Tomiyama, and H. Yoshikawa, A synthetic reasoning method for conceptual design. Department of Precision Mechanical Engineering, The University of Tokyo. 1993.", '735'
"M. Denecker. Knowledge Representation and Reasoning in Incomplete Logic Programming. PhD thesis, Department of Computer Science, K.U.Leuven, 1993.", '738'
"M. Denecker. Knowledge Representation and Reasoning in Incomplete Logic Programming. PhD thesis, Department of Computer Science, K.U.Leuven, 1993.", '738'
"A. S. Rao and M. P. Georgeff. Modeling rational agents within a BDI-architecture. In Proceedings of Knowledge Representation and Reasoning, pages 473-484, 1991.", '741'
"M. Shanahan. Towards a calculus for temporal and qualitative reasoning. In Proceedings of AAAI Symposium, Stanford, 1991, 1991.", '744'
"Pereira, L.M., Aparcio, J.N., and Alfares, J.J., Counterfactual reasoning based on revising assumptions. Logic Programming, Proceedings of the 1991 Internal Symposium, MIT Press 1991.", '747'
"GUESGEN, H.-W. Spatial reasoning based on Allen's temporal logic. Technical Report TR-89-049, ICSI, Berkeley, CA, Aug. 1989.", '750'
"Guesgen, H.-W. (1989). Spatial reasoning based on Allen's temporal logic. Technical Report TR-89-049, ICSI, Berkeley, CA.", '750'
"H.-W. Guesgen. Spatial reasoning based on Allen's temporal logic. Technical report, ICSI, Berkeley, CA, Aug. 1989.", '750'
"C. Freksa. Temporal reasoning based on semi-intervals. Technical Report TR-90-016, ICSI, Berkeley, CA, Apr. 1990.", '753'
"FREKSA, C. Temporal reasoning based on semi-intervals. Artificial Intelligence, 54:199-227, 1992.", '756'
"Freksa, C. (1992a). Temporal reasoning based on semi-intervals. Artificial Intelligence, 54, 199-227.", '756'
"D. Roth. On the hardness of approximate reasoning. Artificial Intelligence, 82(1-2), April 1996.", '759'
"J. McCarthy. Circumscription - a form of non-monotonic reasoning. Artificial Intelligence, 13(1,2):27-39, April 1980.", '762'
"D. McDermott and J. Doyle. Non-monotonic Reasoning I. Artificial Intelligence, 13: 41-72, 1980.", '765'
"Raymond Reiter. A logic for default reasoning. Artificial Intelligence, 13(1 and 2):81-132, 1980.  23", '768'
"Reiter, R., A logic for default reasoning. 13, pp. 81132, 1980.", '768'
"D. Poole. A logical framework for default reasoning. Artifical Intelligence, 36(1):27-47, 1988.", '771'
"David Poole. A logical framework for default reasoning. Artificial Intelligence, 36:27-47, 1988.", '771'
"R. Simmons, Combining Associational and Causal Reasoning to Solve Interpretation and Planning Problems, Technical Report, MIT Artificial Intelligence Laboratory, 1988.", '774'
"Hall-89 Rogers P. Hall: Computatinal approaches to analogical reasoning; A comparative analysis. Artificial Intelligence, Vol. 39, no. 1, 1989.", '777'
"Wlodek Zadrozny. Reasoning with background knowledge - a three-level theory. Computational Intelligence, 10(2), 1994. To appear.", '780'
"F. Bacchus. Lp, a logic for representing and reasoning with statistical knowledge. Computational Intelligence, 6:209-231, 1990.", '783'
"Peter van Beek and Robin Cohen. Exact and approximate reasoning about temporal relations. Computational Intelligence, 6:132-144, 1990.", '786'
"R. Wilson and J.-C. Latombe. Geometric reasoning about mechanical assembly. Artificial Intelligence, 71(2):371-396, 1994.", '789'
"R. Wilson and J.-C. Latombe. Geometric reasoning about mechanical assembly. Artificial Intelligence, 71(2):371-396, 1994.", '789'
"S. Lee and Y. Shin. Assembly planning based on geometric reasoning. Computers and Graphics, 14(2):237-250, 1990.", '792'
"S. Lee and Y. Shin. Assembly planning based on geometric reasoning. Computers and Graphics, 14(2):237-250, 1990.", '792'
"B. Chandrasekaran. Generic tasks in knowledge-based reasoning: High-level building blocks for expert system design. IEEE Expert, pages 23-30, Fall 1986.  23", '795'
"Chandrasekaran, B. (1986). Generic tasks in knowledge-based reasoning: Highlevel building blocks for expert system design. IEEE Expert.", '795'
"F.F. Ingrand, M.P. Georgeff, and A.S. Rao. An architecture for real-time reasoning andsystem control. IEEE Expert, 7(6):3444, 1992.", '798'
"Hennessy, D. and Hinkle, D. (1992). Applying case-based reasoning to autoclave loading. IEEE Expert 7(5), pp. 21-26.", '801'
"Harmon, P. (1992): Case-based reasoning III, Intelligent Software Strategies, VIII (1).", '804'
"Slade, S. (1991). Case-based reasoning: A research paradigm. AI Magazine, 12(1), 42-55.", '807'
"DAndrade, R. G. (1991). Culturally Based Reasoning. In A. Gellatly, & D. Rogers (Ed.), Cognition and Social Worlds Oxford: Clarendon Press.", '810'
"DAndrade, R. G. (1991), Culturally Based Reasoning, in A. Gellatly and D. Rogers, ed., Cognition and Social Worlds, Oxford: Clarendon Press,", '810'
"J. T. E. RICHARDSON, 1983. Mental Imagery in Thinking and Problem Solving, in  Thinking and Reasoning: Psychological Approaches. (Ed. Jonathan S.B.T. Evans),  Boston:Routledge and Kegan Paul.", '813'
"Schirra, J. R. J. (1992). Connecting visual and verbal space: Preliminary considerations concerning the concept `mental image'. In 4th European Workshop Semantics of Time, Space and Movement and SpatioTemporal Reasoning, Chateau de Bonas, France.", '816'
"J.M. Crawford. A theoretical analysis of reasoning by symmetry in first-order logic. In AAAI Workshop on Tractable Reasoning, 1992.", '819'
"J.-L. Lassez and K. Marriott. Explicit representation of terms defined by counter examples. Journal of Automated Reasoning, 3:301-317, 1987.", '822'
"W. W. Bledsoe. Challenge problems in elementary calculus. Journal of Automated Reasoning, (6):341-359, 1990.", '825'
"A.J. Ayer, The origins of pragmatism. Ch. 3, Pierces philosophy of science, A. The three kinds of reasoning. Freeman, Cooper & Co., 1968. 63-80.", '828'
"Pawlak, Z. (1991). Rough sets: Theoretical Aspects of Reasoning About Data. Kluwer Academic, Dordrecht, The Netherlands.", '831'
"Zdzislaw Pawlak. Rough Sets: Theoretical aspects of Reasoning about Data. Kluwer,  Boston, MA, 1991.", '831'
"HERNANDEZ, D. and ZIMMERMANN, K. Default reasoning and the qualitative representation of spatial knowledge. In preparation, 1992.", '834'
"Hernandez, D. and Zimmermann, K. (1992). Default reasoning and the qualitative representation of spatial knowledge. In preparation.", '834'
"B. Nebel. Computational properties of qualitative spatial reasoning: First results. In KI'95, LNCS 981, pp.233-244, Springer, 1995.", '837'
"Bernhard Nebel. Reasoning and Revision in Hybrid Representation Systems. Springer-Verlag, first edition, 1990.", '840'
